# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::node	0.0	person	2-3
# ::node	0.0.0	own-01	2-3
# ::node	0.0.0.0	imminent	10-11
# ::node	0.1	report-01	7-8
# ::node	0.1.0	foundation	15-16
# ::node	0.1.1	complete	13-14
# ::root	0	assure-01
# ::edge	assure-01	ARG0	person	0	0.0	
# ::edge	assure-01	ARG2	report-01	0	0.1	
# ::edge	own-01	ARG0	person	0.0.0	0.0	
# ::edge	own-01	ARG1	imminent	0.0.0	0.0.0.0	
# ::edge	report-01	ARG1	foundation	0.1	0.1.0	
# ::edge	report-01	manner	complete	0.1	0.1.1	
(a / assure-01 
      :ARG0 (p / person 
            :ARG0-of (o / own-01 
                  :ARG1 (i / imminent))) 
      :ARG2 (r / report-01 
            :ARG1 (f / foundation) 
            :manner (c / complete)))

# ::snt as the problem will continue with the great autumnputtingtobed and the great springtidyup and all the cutting back in between a store of large sacks is essential
# ::tok as the problem will continue with the great autumnputtingtobed and the great springtidyup and all the cutting back in between a store of large sacks is essential
# ::alignments 26-27|0.1.0 23-24|0.1.2 21-22|0.2.1 19-20|0.2 17-18|0.2.0 14-15|0.3 13-14|0 11-12|0.1.1.0 9-10|0.0 7-8|0.0.0 4-5|0.1 2-3|0.1.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.764
# ::node	0	and	13-14
# ::node	0.0	and	9-10
# ::node	0.0.0	great	7-8
# ::node	0.1	continue-01	4-5
# ::node	0.1.0	essential	26-27
# ::node	0.1.1	problem	2-3
# ::node	0.1.1.0	great	11-12
# ::node	0.1.2	large	23-24
# ::node	0.2	between	19-20
# ::node	0.2.0	back	17-18
# ::node	0.2.1	store	21-22
# ::node	0.3	all	14-15
# ::root	0	and
# ::edge	and	location	and	0.0	0	
# ::edge	and	mod	great	0.0	0.0.0	
# ::edge	and	op1	continue-01	0	0.1	
# ::edge	and	op2	between	0	0.2	
# ::edge	and	quant	all	0	0.3	
# ::edge	back	compared-to	between	0.2.0	0.2	
# ::edge	between	op1	store	0.2	0.2.1	
# ::edge	continue-01	ARG0	essential	0.1	0.1.0	
# ::edge	continue-01	ARG1	problem	0.1	0.1.1	
# ::edge	large	op1	continue-01	0.1.2	0.1	
# ::edge	problem	mod	great	0.1.1	0.1.1.0	
(a2 / and 
      :location-of (a3 / and 
            :mod (g2 / great)) 
      :op1 (c / continue-01 
            :ARG0 (e / essential) 
            :ARG1 (p / problem 
                  :mod (g / great)) 
            :op-of (l / large)) 
      :op2 (b / between 
            :compared-to-of (b2 / back) 
            :op1 (s / store)) 
      :quant (a / all))

# ::snt cavill heugh the australian forward disillusioned at barrow by the sacking of rod reddy will join leeds when his contract with the cumbrians runs out next month
# ::tok cavill heugh the australian forward disillusioned at barrow by the sacking of rod reddy will join leeds when his contract with the cumbrians runs out next month
# ::alignments 26-27|0.0.0.0.0+0.0.0.0 25-26|0.0.0.0.0.0 19-20|0.0 15-16|0 5-6|0.0.0 4-5|0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.813
# ::node	0	join-01	15-16
# ::node	0.0	contract-02	19-20
# ::node	0.0.0	disillusion-01	5-6
# ::node	0.0.0.0	temporal-quantity	26-27
# ::node	0.0.0.0.0	month	26-27
# ::node	0.0.0.0.0.0	next	25-26
# ::node	0.0.0.1	forward	4-5
# ::root	0	join-01
# ::edge	contract-02	ARG1	disillusion-01	0.0	0.0.0	
# ::edge	disillusion-01	ARG0	temporal-quantity	0.0.0	0.0.0.0	
# ::edge	disillusion-01	mod	forward	0.0.0	0.0.0.1	
# ::edge	join-01	ARG1	contract-02	0	0.0	
# ::edge	month	mod	next	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	temporal-quantity	unit	month	0.0.0.0	0.0.0.0.0	
(j / join-01 
      :ARG1 (c / contract-02 
            :ARG1 (d / disillusion-01 
                  :ARG0 (t / temporal-quantity 
                        :unit (m / month 
                              :mod (n / next))) 
                  :mod (f / forward))))

# ::snt they may be stored in bins or sacks loose on the floor or in silos
# ::tok they may be stored in bins or sacks loose on the floor or in silos
# ::alignments 12-13|0.0 11-12|0.0.1 8-9|0.0.0 6-7|0.2 3-4|0 1-2|0.3.0+0.3 0-1|0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.841
# ::node	0	store-01	3-4
# ::node	0.0	or	12-13
# ::node	0.0.0	loose-01	8-9
# ::node	0.0.1	floor	11-12
# ::node	0.1	they	0-1
# ::node	0.2	or	6-7
# ::node	0.3	date-entity	1-2
# ::node	0.3.0	5	1-2
# ::root	0	store-01
# ::edge	date-entity	domain	store-01	0.3	0	
# ::edge	date-entity	month	5	0.3	0.3.0	
# ::edge	loose-01	ARG0	or	0.0.0	0.0	
# ::edge	or	op1	floor	0.0	0.0.1	
# ::edge	store-01	ARG0	or	0	0.0	
# ::edge	store-01	ARG1	they	0	0.1	
# ::edge	store-01	ARG2	or	0	0.2	
(s / store-01 
      :ARG0 (o / or 
            :ARG0-of (l / loose-01) 
            :op1 (f / floor)) 
      :ARG1 (t / they) 
      :ARG2 (o2 / or) 
      :domain-of (d / date-entity 
            :month 5))

# ::snt he said ah si il cane and heaved across the counter a bloody sack
# ::tok he said ah si il cane and heaved across the counter a bloody sack
# ::alignments 12-13|0.3.0.0.0 10-11|0.3.0.0 8-9|0.3.0 6-7|0.3 5-6|0.1 2-3|0.2 1-2|0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.946
# ::node	0	say-01	1-2
# ::node	0.0	he	0-1
# ::node	0.1	cane	5-6
# ::node	0.2	ah	2-3
# ::node	0.3	and	6-7
# ::node	0.3.0	across	8-9
# ::node	0.3.0.0	counter-01	10-11
# ::node	0.3.0.0.0	bloody	12-13
# ::root	0	say-01
# ::edge	across	op1	counter-01	0.3.0	0.3.0.0	
# ::edge	and	location	across	0.3	0.3.0	
# ::edge	and	op1	say-01	0.3	0	
# ::edge	counter-01	ARG0	bloody	0.3.0.0	0.3.0.0.0	
# ::edge	say-01	ARG0	he	0	0.0	
# ::edge	say-01	ARG1	cane	0	0.1	
# ::edge	say-01	ARG2	ah	0	0.2	
(s / say-01 
      :ARG0 (h / he) 
      :ARG1 (c2 / cane) 
      :ARG2 (a3 / ah) 
      :op-of (a2 / and 
            :location (a / across 
                  :op1 (c / counter-01 
                        :ARG0 (b / bloody)))))

# ::snt it was quite empty except for some old rotting sacks and boxes
# ::tok it was quite empty except for some old rotting sacks and boxes
# ::alignments 11-12|0.0.0.0 10-11|0.0.0 7-8|0.2 6-7|0.0 4-5|0 3-4|0.1 2-3|0.1.0 0-1|0.1.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.033
# ::node	0	except-00	4-5
# ::node	0.0	some	6-7
# ::node	0.0.0	and	10-11
# ::node	0.0.0.0	box	11-12
# ::node	0.1	empty	3-4
# ::node	0.1.0	quite	2-3
# ::node	0.1.1	it	0-1
# ::node	0.2	old	7-8
# ::root	0	except-00
# ::edge	and	op1	box	0.0.0	0.0.0.0	
# ::edge	and	quant	some	0.0.0	0.0	
# ::edge	empty	degree	quite	0.1	0.1.0	
# ::edge	empty	domain	it	0.1	0.1.1	
# ::edge	except-00	ARG0	some	0	0.0	
# ::edge	except-00	ARG1	empty	0	0.1	
# ::edge	except-00	ARG2	old	0	0.2	
(e / except-00 
      :ARG0 (s / some 
            :quant-of (a / and 
                  :op1 (b / box))) 
      :ARG1 (e2 / empty 
            :degree (q / quite) 
            :domain (i / it)) 
      :ARG2 (o / old))

# ::snt it must be all those years of flinging sacks of potatoes about
# ::tok it must be all those years of flinging sacks of potatoes about
# ::alignments 10-11|0 5-6|0.0.0+0.0.0.0 3-4|0.0.0.0.0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.048
# ::node	0	potatoe	10-11
# ::node	0.0	it	0-1
# ::node	0.0.0	year	5-6
# ::node	0.0.0.0	temporal-quantity	5-6
# ::node	0.0.0.0.0	all	3-4
# ::root	0	potatoe
(p / potatoe 
      :poss-of (i / it 
            :domain-of (y / year 
                  :unit-of (t / temporal-quantity 
                        :quant (a / all)))))

# ::snt members of the association of university teachers have decided not to boycott this weeks degree ceremony in protest at the sackings
# ::tok members of the association of university teachers have decided not to boycott this weeks degree ceremony in protest at the sackings
# ::alignments 17-18|0.1.0.3 15-16|0.1.0 14-15|0.1.0.1 13-14|0.1.0.0.0+0.1.0.0 12-13|0.1.0.2 11-12|0.1 8-9|0 6-7|0.0.0+0.0 3-6|0.0.1.0.0.0+0.0.1.0.0.1+0.0.1.0.0.2+0.0.1.0.0+0.0.1.0 0-1|0.0.1.1+0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.248
# ::node	0	decide-01	8-9
# ::node	0.0	person	6-7
# ::node	0.0.0	teach-01	6-7
# ::node	0.0.1	have-org-role-91	0-1
# ::node	0.0.1.0	organization	3-6
# ::node	0.0.1.0.0	name	3-6
# ::node	0.0.1.0.0.0	"university"	3-6
# ::node	0.0.1.0.0.1	"of"	3-6
# ::node	0.0.1.0.0.2	"association"	3-6
# ::node	0.0.1.1	member	0-1
# ::node	0.1	boycott-01	11-12
# ::node	0.1.0	ceremony	15-16
# ::node	0.1.0.0	temporal-quantity	13-14
# ::node	0.1.0.0.0	week	13-14
# ::node	0.1.0.1	degree	14-15
# ::node	0.1.0.2	this	12-13
# ::node	0.1.0.3	protest-01	17-18
# ::root	0	decide-01
# ::edge	boycott-01	ARG1	ceremony	0.1	0.1.0	
# ::edge	ceremony	duration	temporal-quantity	0.1.0	0.1.0.0	
# ::edge	ceremony	mod	degree	0.1.0	0.1.0.1	
# ::edge	ceremony	mod	this	0.1.0	0.1.0.2	
# ::edge	ceremony	purpose	protest-01	0.1.0	0.1.0.3	
# ::edge	decide-01	ARG0	person	0	0.0	
# ::edge	decide-01	ARG1	boycott-01	0	0.1	
# ::edge	have-org-role-91	ARG0	person	0.0.1	0.0	
# ::edge	have-org-role-91	ARG1	organization	0.0.1	0.0.1.0	
# ::edge	have-org-role-91	ARG2	member	0.0.1	0.0.1.1	
# ::edge	name	op1	"university"	0.0.1.0.0	0.0.1.0.0.0	
# ::edge	name	op2	"of"	0.0.1.0.0	0.0.1.0.0.1	
# ::edge	name	op3	"association"	0.0.1.0.0	0.0.1.0.0.2	
# ::edge	organization	name	name	0.0.1.0	0.0.1.0.0	
# ::edge	teach-01	ARG0	person	0.0.0	0.0	
# ::edge	temporal-quantity	unit	week	0.1.0.0	0.1.0.0.0	
(d2 / decide-01 
      :ARG0 (p2 / person 
            :ARG0-of (t3 / teach-01) 
            :ARG0-of (h / have-org-role-91 
                  :ARG1 (o / organization 
                        :name (n / name 
                              :op1 "university" 
                              :op2 "of" 
                              :op3 "association")) 
                  :ARG2 (m / member))) 
      :ARG1 (b / boycott-01 
            :ARG1 (c / ceremony 
                  :duration (t / temporal-quantity 
                        :unit (w / week)) 
                  :mod (d / degree) 
                  :mod (t2 / this) 
                  :purpose (p / protest-01))))

# ::snt  with its astonishing description of the horrors that accompany the sack of cities
# ::tok with its astonishing description of the horrors that accompany the sack of cities
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.249
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt these days the word salame is also used to refer to an idiot with less brains than a sack of potatoes
# ::tok these days the word salame is also used to refer to an idiot with less brains than a sack of potatoes
# ::alignments 20-21|0.4 15-16|0.0 14-15|0.0.0 12-13|0.2.1 9-10|0.2 7-8|0 6-7|0.3 3-4|0.2.0 1-2|0.1.0+0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.353
# ::node	0	use-01	7-8
# ::node	0.0	brain	15-16
# ::node	0.0.0	less	14-15
# ::node	0.1	temporal-quantity	1-2
# ::node	0.1.0	day	1-2
# ::node	0.2	refer-02	9-10
# ::node	0.2.0	word	3-4
# ::node	0.2.1	idiot	12-13
# ::node	0.3	also	6-7
# ::node	0.4	potatoe	20-21
# ::root	0	use-01
# ::edge	brain	degree	less	0.0	0.0.0	
# ::edge	potatoe	op1	use-01	0.4	0	
# ::edge	refer-02	ARG0	word	0.2	0.2.0	
# ::edge	refer-02	ARG1	idiot	0.2	0.2.1	
# ::edge	temporal-quantity	unit	day	0.1	0.1.0	
# ::edge	use-01	ARG0	brain	0	0.0	
# ::edge	use-01	ARG1	temporal-quantity	0	0.1	
# ::edge	use-01	ARG2	refer-02	0	0.2	
# ::edge	use-01	mod	also	0	0.3	
(u / use-01 
      :ARG0 (b / brain 
            :degree (l / less)) 
      :ARG1 (t / temporal-quantity 
            :unit (d / day)) 
      :ARG2 (r / refer-02 
            :ARG0 (w / word) 
            :ARG1 (i / idiot)) 
      :mod (a / also) 
      :op-of (p / potatoe))

# ::snt in plastic bags or sacks dash
# ::tok in plastic bags or sacks dash
# ::alignments 3-4|0 2-3|0.0 1-2|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.362
# ::node	0	or	3-4
# ::node	0.0	bag	2-3
# ::node	0.0.0	plastic	1-2
# ::root	0	or
# ::edge	bag	mod	plastic	0.0	0.0.0	
# ::edge	or	op1	bag	0	0.0	
(o / or 
      :op1 (b / bag 
            :mod (p / plastic)))

# ::snt her recently born pups were five helpless whimpering bundles curled in the dirty sacking at her feet
# ::tok her recently born pups were five helpless whimpering bundles curled in the dirty sacking at her feet
# ::alignments 16-17|0.0.0.0.1 12-13|0.0.0.0.0 8-9|0.0 6-7|0 5-6|0.0.1 2-3|0.0.0.0 1-2|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.404
# ::node	0	helpless	6-7
# ::node	0.0	bundle-02	8-9
# ::node	0.0.0	recent	1-2
# ::node	0.0.0.0	bear-02	2-3
# ::node	0.0.0.0.0	dirty	12-13
# ::node	0.0.0.0.1	foot	16-17
# ::node	0.0.1	5	5-6
# ::root	0	helpless
(h / helpless 
      :mod-of (b / bundle-02 
            :ARG1 (r / recent 
                  :time-of (b2 / bear-02 
                        :ARG0 (d / dirty) 
                        :op-of (f / foot))) 
            :quant 5))

# ::snt international conservation groups yesterday demanded the immediate sacking of eugene lapointe the secretarygeneral of the convention on international trade in endangered species amid mounting controversy over the conduct and funding of the cites secretariat
# ::tok international conservation groups yesterday demanded the immediate sacking of eugene lapointe the secretarygeneral of the convention on international trade in endangered species amid mounting controversy over the conduct and funding of the cites secretariat
# ::alignments 33-34|0.0.1.3.1 29-30|0.0.1.3 28-29|0.0.1 27-28|0.0.1.2 24-25|0.0.1.1 23-24|0.0.1.1.0 21-22|0.0 20-21|0 18-19|0.0.0 17-18|0.0.0.0 15-16|0.0.0.1 6-7|0.0.1.3.0 4-5|0.0.1.0 3-4|0.0.1.0.1 2-3|0.0.1.0.0 1-2|0.0.1.0.0.0 0-1|0.0.1.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.555
# ::node	0	endanger-01	20-21
# ::node	0.0	species	21-22
# ::node	0.0.0	trade-01	18-19
# ::node	0.0.0.0	international	17-18
# ::node	0.0.0.1	convention	15-16
# ::node	0.0.1	and	28-29
# ::node	0.0.1.0	demand-01	4-5
# ::node	0.0.1.0.0	group	2-3
# ::node	0.0.1.0.0.0	conserve-01	1-2
# ::node	0.0.1.0.0.0.0	international	0-1
# ::node	0.0.1.0.1	yesterday	3-4
# ::node	0.0.1.1	controversy	24-25
# ::node	0.0.1.1.0	mount-02	23-24
# ::node	0.0.1.2	conduct-01	27-28
# ::node	0.0.1.3	fund-01	29-30
# ::node	0.0.1.3.0	immediate	6-7
# ::node	0.0.1.3.1	secretariat	33-34
# ::root	0	endanger-01
# ::edge	and	op1	demand-01	0.0.1	0.0.1.0	
# ::edge	and	op2	controversy	0.0.1	0.0.1.1	
# ::edge	and	op3	conduct-01	0.0.1	0.0.1.2	
# ::edge	and	op4	fund-01	0.0.1	0.0.1.3	
# ::edge	and	path	species	0.0.1	0.0	
# ::edge	conserve-01	ARG0	group	0.0.1.0.0.0	0.0.1.0.0	
# ::edge	conserve-01	mod	international	0.0.1.0.0.0	0.0.1.0.0.0.0	
# ::edge	convention	mod	trade-01	0.0.0.1	0.0.0	
# ::edge	demand-01	ARG1	group	0.0.1.0	0.0.1.0.0	
# ::edge	demand-01	time	yesterday	0.0.1.0	0.0.1.0.1	
# ::edge	endanger-01	ARG1	species	0	0.0	
# ::edge	fund-01	ARG0	immediate	0.0.1.3	0.0.1.3.0	
# ::edge	fund-01	ARG1	secretariat	0.0.1.3	0.0.1.3.1	
# ::edge	mount-02	ARG1	controversy	0.0.1.1.0	0.0.1.1	
# ::edge	trade-01	ARG1	species	0.0.0	0.0	
# ::edge	trade-01	mod	international	0.0.0	0.0.0.0	
(e / endanger-01 
      :ARG1 (s2 / species 
            :ARG1-of (t / trade-01 
                  :mod (i / international) 
                  :mod-of (c3 / convention)) 
            :path-of (a / and 
                  :op1 (d / demand-01 
                        :ARG1 (g / group 
                              :ARG0-of (c4 / conserve-01 
                                    :mod (i3 / international))) 
                        :time (y / yesterday)) 
                  :op2 (c2 / controversy 
                        :ARG1-of (m / mount-02)) 
                  :op3 (c / conduct-01) 
                  :op4 (f / fund-01 
                        :ARG0 (i2 / immediate) 
                        :ARG1 (s / secretariat)))))

# ::snt the crows are in any case often to be seen on the roofs of the houses opposite and it is not unusual to see them trying their luck with plastic refuse sacks on dustbin days
# ::tok the crows are in any case often to be seen on the roofs of the houses opposite and it is not unusual to see them trying their luck with plastic refuse sacks on dustbin days
# ::alignments 34-35|0.0.1.1.0.0.0.0+0.0.1.1.0.0.0 30-31|0.0.1.1.0.0 29-30|0.0.1.1.0.0.1 27-28|0 25-26|0.0 23-24|0.0.1 21-22|0.0.1.1.1+0.0.1.1 18-19|0.0.1.0 17-18|0.0.1.1.0 16-17|0.0.1.1.0.2 15-16|0.0.1.1.0.2.0 12-13|0.0.1.1.0.1.0 9-10|0.0.1.1.0.1 6-7|0.0.0.0.0 5-6|0.0.0.0 4-5|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.863
# ::node	0	luck	27-28
# ::node	0.0	try-01	25-26
# ::node	0.0.0	any	4-5
# ::node	0.0.0.0	case	5-6
# ::node	0.0.0.0.0	often	6-7
# ::node	0.0.1	see-01	23-24
# ::node	0.0.1.0	it	18-19
# ::node	0.0.1.1	usual	21-22
# ::node	0.0.1.1.0	and	17-18
# ::node	0.0.1.1.0.0	refuse-01	30-31
# ::node	0.0.1.1.0.0.0	temporal-quantity	34-35
# ::node	0.0.1.1.0.0.0.0	day	34-35
# ::node	0.0.1.1.0.0.1	plastic	29-30
# ::node	0.0.1.1.0.1	see-01	9-10
# ::node	0.0.1.1.0.1.0	roof	12-13
# ::node	0.0.1.1.0.2	opposite-41	16-17
# ::node	0.0.1.1.0.2.0	house	15-16
# ::node	0.0.1.1.1	-	21-22
# ::root	0	luck
(l / luck 
      :ARG1-of (t2 / try-01 
            :ARG0 (a2 / any 
                  :mod-of (c / case 
                        :mod (o2 / often))) 
            :ARG1-of (s / see-01 
                  :ARG0 (i / it) 
                  :domain-of (u / usual 
                        :op-of (a / and 
                              :ARG0-of (r / refuse-01 
                                    :ARG1 (t / temporal-quantity 
                                          :unit (d / day)) 
                                    :mod (p / plastic)) 
                              :op1 (s2 / see-01 
                                    :ARG1 (r2 / roof)) 
                              :op2 (o / opposite-41 
                                    :ARG1 (h / house))) 
                        :polarity -))))

# ::snt when i offered to carry her sack she waved me aside
# ::tok when i offered to carry her sack she waved me aside
# ::alignments 10-11|0.1.1 8-9|0.1 7-8|0.1.0 2-3|0 1-2|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:58.876
# ::node	0	offer-01	2-3
# ::node	0.0	i	1-2
# ::node	0.1	wave-01	8-9
# ::node	0.1.0	she	7-8
# ::node	0.1.1	aside	10-11
# ::root	0	offer-01
# ::edge	offer-01	ARG0	i	0	0.0	
# ::edge	wave-01	ARG0	she	0.1	0.1.0	
# ::edge	wave-01	ARG1	offer-01	0.1	0	
# ::edge	wave-01	ARG2	aside	0.1	0.1.1	
(o / offer-01 
      :ARG0 (i / i) 
      :ARG1-of (w / wave-01 
            :ARG0 (s / she) 
            :ARG2 (a / aside)))

# ::snt for him to win the spanish league and lose the european cup on penalties and get the sack shows you how high expectations are when you work in spain
# ::tok for him to win the spanish league and lose the european cup on penalties and get the sack shows you how high expectations are when you work in spain
# ::alignments 25-26|0.0 22-23|0 21-22|0.1 19-20|0.0.0.0 18-19|0.0.0 14-15|0.0.0.1 13-14|0.0.0.1.0.1.1 11-12|0.0.0.1.0.0 10-11|0.0.0.1.0.0.0.0.0+0.0.0.1.0.0.0.0+0.0.0.1.0.0.0 8-9|0.0.0.1.0 7-8|0.0.0.1.0.1 6-7|0.0.0.1.0.1.0.0 5-6|0.0.0.1.0.1.0.0.0.0.0+0.0.0.1.0.1.0.0.0.0+0.0.0.1.0.1.0.0.0 3-4|0.0.0.1.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:59.108
# ::node	0	expect-01	22-23
# ::node	0.0	you	25-26
# ::node	0.0.0	show-01	18-19
# ::node	0.0.0.0	you	19-20
# ::node	0.0.0.1	and	14-15
# ::node	0.0.0.1.0	lose-02	8-9
# ::node	0.0.0.1.0.0	cup	11-12
# ::node	0.0.0.1.0.0.0	continent	10-11
# ::node	0.0.0.1.0.0.0.0	name	10-11
# ::node	0.0.0.1.0.0.0.0.0	"Europe"	10-11
# ::node	0.0.0.1.0.1	and	7-8
# ::node	0.0.0.1.0.1.0	win-01	3-4
# ::node	0.0.0.1.0.1.0.0	league	6-7
# ::node	0.0.0.1.0.1.0.0.0	language	5-6
# ::node	0.0.0.1.0.1.0.0.0.0	name	5-6
# ::node	0.0.0.1.0.1.0.0.0.0.0	"Spanish"	5-6
# ::node	0.0.0.1.0.1.1	penalize-01	13-14
# ::node	0.1	high	21-22
# ::root	0	expect-01
# ::edge	and	op1	lose-02	0.0.0.1	0.0.0.1.0	
# ::edge	and	op1	win-01	0.0.0.1.0.1	0.0.0.1.0.1.0	
# ::edge	and	op2	lose-02	0.0.0.1.0.1	0.0.0.1.0	
# ::edge	and	op2	show-01	0.0.0.1	0.0.0	
# ::edge	and	op3	penalize-01	0.0.0.1.0.1	0.0.0.1.0.1.1	
# ::edge	continent	consist	cup	0.0.0.1.0.0.0	0.0.0.1.0.0	
# ::edge	continent	name	name	0.0.0.1.0.0.0	0.0.0.1.0.0.0.0	
# ::edge	expect-01	ARG0	you	0	0.0	
# ::edge	expect-01	mod	high	0	0.1	
# ::edge	language	name	name	0.0.0.1.0.1.0.0.0	0.0.0.1.0.1.0.0.0.0	
# ::edge	league	medium	language	0.0.0.1.0.1.0.0	0.0.0.1.0.1.0.0.0	
# ::edge	lose-02	ARG1	cup	0.0.0.1.0	0.0.0.1.0.0	
# ::edge	name	op1	"Europe"	0.0.0.1.0.0.0.0	0.0.0.1.0.0.0.0.0	
# ::edge	name	op1	"Spanish"	0.0.0.1.0.1.0.0.0.0	0.0.0.1.0.1.0.0.0.0.0	
# ::edge	show-01	ARG0	you	0.0.0	0.0	
# ::edge	show-01	ARG1	you	0.0.0	0.0.0.0	
# ::edge	win-01	ARG1	league	0.0.0.1.0.1.0	0.0.0.1.0.1.0.0	
(e / expect-01 
      :ARG0 (y / you 
            :ARG0-of (s / show-01 
                  :ARG1 (y2 / you) 
                  :op-of (a / and 
                        :op1 (l / lose-02 
                              :ARG1 (c / cup 
                                    :consist-of (c2 / continent 
                                          :name (n / name 
                                                :op1 "Europe"))) 
                              :op-of (a2 / and 
                                    :op1 (w / win-01 
                                          :ARG1 (l2 / league 
                                                :medium (l3 / language 
                                                      :name (n2 / name 
                                                            :op1 "Spanish")))) 
                                    :op2 (p / penalize-01)))))) 
      :mod (h / high))

