# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
# ::root	0	possible
(p2 / possible 
      :ARG0-of (g / group-01 
            :ARG1 (p / procedure) 
            :ARG1-of (e / exceed-01 
                  :quant (n / number 
                        :time 7))))

# ::snt but the beauxarts was a relatively shortlived fad and not even its excesses could drive other styles out
# ::tok but the beauxarts was a relatively shortlived fad and not even its excesses could drive other styles out
# ::alignments 15-16|0.1.0.0 14-15|0.1.0 13-14|0.1.0.1 8-9|0.1 5-6|0.0 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.303
# ::node	0	contrast-01	0-1
# ::node	0.0	relative	5-6
# ::node	0.1	and	8-9
# ::node	0.1.0	drive-01	14-15
# ::node	0.1.0.0	other	15-16
# ::node	0.1.0.1	possible	13-14
# ::root	0	contrast-01
# ::edge	and	op1	drive-01	0.1	0.1.0	
# ::edge	contrast-01	ARG1	relative	0	0.0	
# ::edge	contrast-01	ARG2	and	0	0.1	
# ::edge	drive-01	ARG1	other	0.1.0	0.1.0.0	
# ::edge	possible	domain	drive-01	0.1.0.1	0.1.0	
(c / contrast-01 
      :ARG1 (r / relative) 
      :ARG2 (a / and 
            :op1 (d / drive-01 
                  :ARG1 (o / other) 
                  :domain-of (p / possible))))

# ::snt for numbers in excess of 49 therefore it is usually necessary to group the groups
# ::tok for numbers in excess of 49 therefore it is usually necessary to group the groups
# ::alignments 14-15|0 12-13|0.0.0 9-10|0.0.1.1 7-8|0.0.1.0 5-6|0.0.2 3-4|0.0.1 1-2|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.351
# ::node	0	group	14-15
# ::node	0.0	number	1-2
# ::node	0.0.0	group	12-13
# ::node	0.0.1	exceed-01	3-4
# ::node	0.0.1.0	it	7-8
# ::node	0.0.1.1	usual	9-10
# ::node	0.0.2	49	5-6
# ::root	0	group
(g / group 
      :poss-of (n / number 
            :poss (g2 / group) 
            :quant-of (e / exceed-01 
                  :ARG2 (i / it) 
                  :op-of (u / usual)) 
            :time 49))

# ::snt it had not been a happy marriage and he often thought that an excess of emotions was at the root of it
# ::tok it had not been a happy marriage and he often thought that an excess of emotions was at the root of it
# ::alignments 21-22|0.0.0 19-20|0.0.1.0.0.0.0 15-16|0 13-14|0.0 10-11|0.0.1.0 9-10|0.0.1.0.2 8-9|0.0.1.0.0 7-8|0.0.1 6-7|0.0.1.0.0.0 5-6|0.0.1.0.0.0.1 0-1|0.0.1.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.458
# ::node	0	emotion	15-16
# ::node	0.0	exceed-01	13-14
# ::node	0.0.0	it	21-22
# ::node	0.0.1	and	7-8
# ::node	0.0.1.0	think-01	10-11
# ::node	0.0.1.0.0	he	8-9
# ::node	0.0.1.0.0.0	marry-01	6-7
# ::node	0.0.1.0.0.0.0	root	19-20
# ::node	0.0.1.0.0.0.1	happy	5-6
# ::node	0.0.1.0.1	it	0-1
# ::node	0.0.1.0.2	often	9-10
# ::root	0	emotion
(e / emotion 
      :ARG1-of (e2 / exceed-01 
            :ARG0 (i / it) 
            :op-of (a / and 
                  :op1 (t / think-01 
                        :ARG0 (h / he 
                              :ARG1-of (m / marry-01 
                                    :ARG0 (r / root) 
                                    :mod (h2 / happy))) 
                        :ARG1 (i2 / it) 
                        :frequency (o / often)))))

# ::snt only amounts in excess of this 2 will be surcharged together with an amount to cover agents commission
# ::tok only amounts in excess of this 2 will be surcharged together with an amount to cover agents commission
# ::alignments 17-18|0.0 16-17|0 13-14|0.1.1 10-11|0.1.0 6-7|0.1.3 5-6|0.2 3-4|0.1 1-2|0.1.2 0-1|0.1.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.517
# ::node	0	agent	16-17
# ::node	0.0	commission	17-18
# ::node	0.1	exceed-01	3-4
# ::node	0.1.0	together	10-11
# ::node	0.1.1	amount	13-14
# ::node	0.1.2	amount	1-2
# ::node	0.1.2.0	only	0-1
# ::node	0.1.3	2	6-7
# ::node	0.2	this	5-6
# ::root	0	agent
# ::edge	agent	op1	exceed-01	0	0.1	
# ::edge	agent	poss	this	0	0.2	
# ::edge	amount	mod	only	0.1.2	0.1.2.0	
# ::edge	commission	mod	agent	0.0	0	
# ::edge	exceed-01	ARG0	together	0.1	0.1.0	
# ::edge	exceed-01	ARG1	amount	0.1	0.1.1	
# ::edge	exceed-01	quant	amount	0.1	0.1.2	
# ::edge	exceed-01	time	2	0.1	0.1.3	
(a / agent 
      :mod-of (c / commission) 
      :op1 (e / exceed-01 
            :ARG0 (t / together) 
            :ARG1 (a2 / amount) 
            :quant (a3 / amount 
                  :mod (o / only)) 
            :time 2) 
      :poss (t2 / this))

# ::snt it was stated that the difference between the two points was in excess of 20 yards when in fact it was more than 10 times that distance
# ::tok it was stated that the difference between the two points was in excess of 20 yards when in fact it was more than 10 times that distance
# ::alignments 26-27|0.0.0.0 23-24|0.2 19-20|0.0.0.0.0 18-19|0.0.0.0.1 15-16|0.0.0.1 14-15|0.0.0.1.0 12-13|0.0.0 9-10|0.0.1.0 8-9|0.0.1.0.0 6-7|0.0.1 5-6|0.0 2-3|0 0-1|0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:32.789
# ::node	0	state-01	2-3
# ::node	0.0	differ-02	5-6
# ::node	0.0.0	exceed-01	12-13
# ::node	0.0.0.0	distance-01	26-27
# ::node	0.0.0.0.0	it	19-20
# ::node	0.0.0.0.1	fact	18-19
# ::node	0.0.0.1	yard	15-16
# ::node	0.0.0.1.0	20	14-15
# ::node	0.0.1	between	6-7
# ::node	0.0.1.0	point	9-10
# ::node	0.0.1.0.0	2	8-9
# ::node	0.1	it	0-1
# ::node	0.2	10	23-24
# ::root	0	state-01
# ::edge	between	op1	point	0.0.1	0.0.1.0	
# ::edge	differ-02	ARG1	exceed-01	0.0	0.0.0	
# ::edge	differ-02	location	between	0.0	0.0.1	
# ::edge	distance-01	ARG0	it	0.0.0.0	0.0.0.0.0	
# ::edge	distance-01	ARG1	fact	0.0.0.0	0.0.0.0.1	
# ::edge	exceed-01	ARG1	distance-01	0.0.0	0.0.0.0	
# ::edge	exceed-01	ARG2	yard	0.0.0	0.0.0.1	
# ::edge	point	quant	2	0.0.1.0	0.0.1.0.0	
# ::edge	state-01	ARG0	differ-02	0	0.0	
# ::edge	state-01	ARG1	it	0	0.1	
# ::edge	state-01	ARG2	10	0	0.2	
# ::edge	yard	quant	20	0.0.0.1	0.0.0.1.0	
(s / state-01 
      :ARG0 (d2 / differ-02 
            :ARG1 (e / exceed-01 
                  :ARG1 (d / distance-01 
                        :ARG0 (i / it) 
                        :ARG1 (f / fact)) 
                  :ARG2 (y / yard 
                        :quant 20)) 
            :location (b / between 
                  :op1 (p / point 
                        :quant 2))) 
      :ARG1 (i2 / it) 
      :ARG2 10)

# ::snt inception of insurance section a from time of payment of premium section b from day of planned departure excesses section a excludes the first 15 of each and every loss of deposit claim and 25 in respect of all other claims
# ::tok inception of insurance section a from time of payment of premium section b from day of planned departure excesses section a excludes the first 15 of each and every loss of deposit claim and 25 in respect of all other claims
# ::alignments 40-41|0.2.3.0 39-40|0.2.3.0.1 38-39|0.2.3.0.2 36-37|0.2.3 34-35|0.3.0.0 33-34|0.3 32-33|0 31-32|0.0 28-29|0.2.3.0.0 27-28|0.2 26-27|0.2.2 24-25|0.2.1.0 19-20|0.3.1 17-18|0.2.0 16-17|0.3.0 14-15|0.3.2 12-13|0.0.0 11-12|0.1 6-7|0.2.1.1 3-4|0.2.1.2 2-3|0.2.1 0-1|0.2.1.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:33.353
# ::node	0	claim-01	32-33
# ::node	0.0	deposit-01	31-32
# ::node	0.0.0	b	12-13
# ::node	0.1	section	11-12
# ::node	0.2	and	27-28
# ::node	0.2.0	depart-01	17-18
# ::node	0.2.1	insure-02	2-3
# ::node	0.2.1.0	15	24-25
# ::node	0.2.1.1	time	6-7
# ::node	0.2.1.2	section	3-4
# ::node	0.2.1.2.0	inception-00	0-1
# ::node	0.2.2	each	26-27
# ::node	0.2.3	respect-01	36-37
# ::node	0.2.3.0	claim-01	40-41
# ::node	0.2.3.0.0	every	28-29
# ::node	0.2.3.0.1	other	39-40
# ::node	0.2.3.0.2	all	38-39
# ::node	0.3	and	33-34
# ::node	0.3.0	plan-01	16-17
# ::node	0.3.0.0	25	34-35
# ::node	0.3.1	section	19-20
# ::node	0.3.2	day	14-15
# ::root	0	claim-01
# ::edge	and	op1	day	0.3	0.3.2	
# ::edge	and	op1	insure-02	0.2	0.2.1	
# ::edge	and	op2	claim-01	0.3	0	
# ::edge	and	op2	each	0.2	0.2.2	
# ::edge	and	op3	claim-01	0.2	0	
# ::edge	and	op4	respect-01	0.2	0.2.3	
# ::edge	claim-01	ARG0	deposit-01	0	0.0	
# ::edge	claim-01	ARG1	every	0.2.3.0	0.2.3.0.0	
# ::edge	claim-01	ARG1	section	0	0.1	
# ::edge	claim-01	mod	all	0.2.3.0	0.2.3.0.2	
# ::edge	claim-01	mod	other	0.2.3.0	0.2.3.0.1	
# ::edge	depart-01	ARG0	and	0.2.0	0.2	
# ::edge	deposit-01	ARG1	b	0.0	0.0.0	
# ::edge	inception-00	ARG1	section	0.2.1.2.0	0.2.1.2	
# ::edge	insure-02	ARG0	15	0.2.1	0.2.1.0	
# ::edge	insure-02	ARG1	time	0.2.1	0.2.1.1	
# ::edge	plan-01	ARG0	25	0.3.0	0.3.0.0	
# ::edge	plan-01	ARG1	and	0.3.0	0.3	
# ::edge	respect-01	ARG1	claim-01	0.2.3	0.2.3.0	
# ::edge	section	mod	insure-02	0.2.1.2	0.2.1	
# ::edge	section	op1	and	0.3.1	0.3	
(c2 / claim-01 
      :ARG0 (d / deposit-01 
            :ARG1 (b / b)) 
      :ARG1 (s2 / section) 
      :op-of (a3 / and 
            :ARG0-of (d2 / depart-01) 
            :op1 (i / insure-02 
                  :ARG0 15 
                  :ARG1 (t / time) 
                  :mod-of (s3 / section 
                        :ARG1-of (i2 / inception-00))) 
            :op2 (e2 / each) 
            :op3 (r / respect-01 
                  :ARG1 (c / claim-01 
                        :ARG1 (e / every) 
                        :mod (o / other) 
                        :mod (a / all)))) 
      :op-of (a2 / and 
            :ARG1-of (p / plan-01 
                  :ARG0 25) 
            :op-of (s / section) 
            :op1 (d3 / day)))

# ::snt for the most part however legislative intervention has been not to expand but to limit liability to counteract the excesses of judicial activism
# ::tok for the most part however legislative intervention has been not to expand but to limit liability to counteract the excesses of judicial activism
# ::alignments 21-22|0.0.0.1 17-18|0.0.1.1 15-16|0.0.1.0 14-15|0.0.1 12-13|0 11-12|0.0 6-7|0.0.0 5-6|0.0.0.0 2-3|0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:33.431
# ::node	0	contrast-01	12-13
# ::node	0.0	expand-01	11-12
# ::node	0.0.0	intervene-01	6-7
# ::node	0.0.0.0	legislate-01	5-6
# ::node	0.0.0.0.0	most	2-3
# ::node	0.0.0.1	judicial	21-22
# ::node	0.0.1	limit-01	14-15
# ::node	0.0.1.0	liability	15-16
# ::node	0.0.1.1	counteract-01	17-18
# ::root	0	contrast-01
# ::edge	contrast-01	ARG1	expand-01	0	0.0	
# ::edge	expand-01	ARG0	intervene-01	0.0	0.0.0	
# ::edge	expand-01	ARG1	limit-01	0.0	0.0.1	
# ::edge	intervene-01	ARG1	judicial	0.0.0	0.0.0.1	
# ::edge	legislate-01	ARG0	intervene-01	0.0.0.0	0.0.0	
# ::edge	legislate-01	ARG1	most	0.0.0.0	0.0.0.0.0	
# ::edge	limit-01	ARG1	liability	0.0.1	0.0.1.0	
# ::edge	limit-01	ARG2	counteract-01	0.0.1	0.0.1.1	
(c2 / contrast-01 
      :ARG1 (e / expand-01 
            :ARG0 (i / intervene-01 
                  :ARG0-of (l3 / legislate-01 
                        :ARG1 (m / most)) 
                  :ARG1 (j / judicial)) 
            :ARG1 (l2 / limit-01 
                  :ARG1 (l / liability) 
                  :ARG2 (c / counteract-01))))

# ::snt puzzling and fretting not truly provoking it indulges in an excess of epistemological pretension
# ::tok puzzling and fretting not truly provoking it indulges in an excess of epistemological pretension
# ::alignments 10-11|0.0.0.0 6-7|0.0.0 5-6|0.0 4-5|0.0.1 1-2|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:33.448
# ::node	0	and	1-2
# ::node	0.0	provoke-01	5-6
# ::node	0.0.0	it	6-7
# ::node	0.0.0.0	exceed-01	10-11
# ::node	0.0.1	truly	4-5
# ::root	0	and
# ::edge	and	op1	provoke-01	0	0.0	
# ::edge	exceed-01	ARG1	it	0.0.0.0	0.0.0	
# ::edge	provoke-01	ARG0	it	0.0	0.0.0	
# ::edge	provoke-01	ARG1	truly	0.0	0.0.1	
(a / and 
      :op1 (p / provoke-01 
            :ARG0 (i / it 
                  :ARG1-of (e / exceed-01)) 
            :ARG1 (t / truly)))

# ::snt later she came to depend more upon excision upon the evocation of what she called the thing not said castigating balzac for delivering an excess of information she praised the hint the pareddown suggestion
# ::tok later she came to depend more upon excision upon the evocation of what she called the thing not said castigating balzac for delivering an excess of information she praised the hint the pareddown suggestion
# ::alignments 33-34|0.0.0.0.0+0.0.0.0 30-31|0.0.0 28-29|0.0.0.1 27-28|0.0.0.1.0 26-27|0.0.0.1.0.0.0 24-25|0.0.0.1.0.0 22-23|0.0.0.1.0.0.1 18-19|0 16-17|0.1 13-14|0.0 4-5|0.0.0.2 1-2|0.0.0.2.0 0-1|0.0.0.1.0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:33.842
# ::node	0	say-01	18-19
# ::node	0.0	she	13-14
# ::node	0.0.0	hint-01	30-31
# ::node	0.0.0.0	thing	33-34
# ::node	0.0.0.0.0	suggest-01	33-34
# ::node	0.0.0.1	praise-01	28-29
# ::node	0.0.0.1.0	she	27-28
# ::node	0.0.0.1.0.0	exceed-01	24-25
# ::node	0.0.0.1.0.0.0	information	26-27
# ::node	0.0.0.1.0.0.1	deliver-01	22-23
# ::node	0.0.0.1.0.0.1.0	late	0-1
# ::node	0.0.0.2	depend-01	4-5
# ::node	0.0.0.2.0	she	1-2
# ::node	0.1	thing	16-17
# ::root	0	say-01
# ::edge	deliver-01	ARG0	late	0.0.0.1.0.0.1	0.0.0.1.0.0.1.0	
# ::edge	deliver-01	ARG1	exceed-01	0.0.0.1.0.0.1	0.0.0.1.0.0	
# ::edge	depend-01	ARG0	she	0.0.0.2	0.0.0.2.0	
# ::edge	depend-01	ARG1	hint-01	0.0.0.2	0.0.0	
# ::edge	exceed-01	ARG0	she	0.0.0.1.0.0	0.0.0.1.0	
# ::edge	exceed-01	ARG1	information	0.0.0.1.0.0	0.0.0.1.0.0.0	
# ::edge	hint-01	ARG0	she	0.0.0	0.0	
# ::edge	hint-01	ARG1	thing	0.0.0	0.0.0.0	
# ::edge	praise-01	ARG0	she	0.0.0.1	0.0.0.1.0	
# ::edge	praise-01	ARG1	hint-01	0.0.0.1	0.0.0	
# ::edge	say-01	ARG0	she	0	0.0	
# ::edge	say-01	ARG1	thing	0	0.1	
# ::edge	suggest-01	ARG1	thing	0.0.0.0.0	0.0.0.0	
(s3 / say-01 
      :ARG0 (s4 / she 
            :ARG0-of (h / hint-01 
                  :ARG1 (t / thing 
                        :ARG1-of (s / suggest-01)) 
                  :ARG1-of (p / praise-01 
                        :ARG0 (s2 / she 
                              :ARG0-of (e / exceed-01 
                                    :ARG1 (i / information) 
                                    :ARG1-of (d / deliver-01 
                                          :ARG0 (l / late))))) 
                  :ARG1-of (d2 / depend-01 
                        :ARG0 (s5 / she)))) 
      :ARG1 (t2 / thing))

# ::snt and even after that explosion the dividend is still covered by profits more than three and a half times which leaves plenty room for further growth in excess of earnings
# ::tok and even after that explosion the dividend is still covered by profits more than three and a half times which leaves plenty room for further growth in excess of earnings
# ::alignments 29-30|0.0.0.0.0.1.0.0.1.0.0 27-28|0.0.0.0.0.1.0.0.1.0 25-26|0.0.0.0.0.1.0.0.1 24-25|0.0.0.0.0.1.0.0.1.1 22-23|0.0.0.0.0.1.0.0 21-22|0.0.0.0.0.1.0.0.0 20-21|0.0.0.0.0.1.0 17-18|0.0.0.0.0.1.0.0.1.0.0.0 15-16|0.0.0.0.0.1 14-15|0.0.0.0.0.0 11-12|0.0.0.0.0 9-10|0.0.0.0 8-9|0.0.0.0.1 4-5|0.0.0 2-3|0.0 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:34.178
# ::node	0	and	0-1
# ::node	0.0	after	2-3
# ::node	0.0.0	explode-01	4-5
# ::node	0.0.0.0	cover-01	9-10
# ::node	0.0.0.0.0	profit-01	11-12
# ::node	0.0.0.0.0.0	3	14-15
# ::node	0.0.0.0.0.1	and	15-16
# ::node	0.0.0.0.0.1.0	leave-01	20-21
# ::node	0.0.0.0.0.1.0.0	room	22-23
# ::node	0.0.0.0.0.1.0.0.0	plenty	21-22
# ::node	0.0.0.0.0.1.0.0.1	grow-01	25-26
# ::node	0.0.0.0.0.1.0.0.1.0	exceed-01	27-28
# ::node	0.0.0.0.0.1.0.0.1.0.0	earn-01	29-30
# ::node	0.0.0.0.0.1.0.0.1.0.0.0	half	17-18
# ::node	0.0.0.0.0.1.0.0.1.1	further	24-25
# ::node	0.0.0.0.1	still	8-9
# ::root	0	and
# ::edge	after	op1	explode-01	0.0	0.0.0	
# ::edge	and	op1	profit-01	0.0.0.0.0.1	0.0.0.0.0	
# ::edge	and	time	after	0	0.0	
# ::edge	cover-01	ARG1	explode-01	0.0.0.0	0.0.0	
# ::edge	cover-01	ARG2	profit-01	0.0.0.0	0.0.0.0.0	
# ::edge	cover-01	mod	still	0.0.0.0	0.0.0.0.1	
# ::edge	earn-01	ARG1	half	0.0.0.0.0.1.0.0.1.0.0	0.0.0.0.0.1.0.0.1.0.0.0	
# ::edge	exceed-01	ARG1	earn-01	0.0.0.0.0.1.0.0.1.0	0.0.0.0.0.1.0.0.1.0.0	
# ::edge	grow-01	ARG1	exceed-01	0.0.0.0.0.1.0.0.1	0.0.0.0.0.1.0.0.1.0	
# ::edge	grow-01	mod	further	0.0.0.0.0.1.0.0.1	0.0.0.0.0.1.0.0.1.1	
# ::edge	leave-01	ARG0	and	0.0.0.0.0.1.0	0.0.0.0.0.1	
# ::edge	leave-01	ARG1	room	0.0.0.0.0.1.0	0.0.0.0.0.1.0.0	
# ::edge	profit-01	ARG1	3	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	room	mod	plenty	0.0.0.0.0.1.0.0	0.0.0.0.0.1.0.0.0	
# ::edge	room	purpose	grow-01	0.0.0.0.0.1.0.0	0.0.0.0.0.1.0.0.1	
(a3 / and 
      :time (a2 / after 
            :op1 (e3 / explode-01 
                  :ARG1-of (c / cover-01 
                        :ARG2 (p2 / profit-01 
                              :ARG1 3 
                              :op-of (a / and 
                                    :ARG0-of (l / leave-01 
                                          :ARG1 (r / room 
                                                :mod (p / plenty) 
                                                :purpose (g / grow-01 
                                                      :ARG1 (e2 / exceed-01 
                                                            :ARG1 (e / earn-01 
                                                                  :ARG1 (h / half))) 
                                                      :mod (f / further)))))) 
                        :mod (s / still)))))

# ::snt its a widespread misconception that theyre brought on by an excess of alcohol
# ::tok its a widespread misconception that theyre brought on by an excess of alcohol
# ::alignments 12-13|0.0.0 10-11|0.0 3-4|0 2-3|0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:34.194
# ::node	0	misconception	3-4
# ::node	0.0	exceed-01	10-11
# ::node	0.0.0	alcohol	12-13
# ::node	0.1	wide	2-3
# ::root	0	misconception
# ::edge	exceed-01	ARG0	misconception	0.0	0	
# ::edge	exceed-01	ARG1	alcohol	0.0	0.0.0	
# ::edge	misconception	mod	wide	0	0.1	
(m / misconception 
      :ARG0-of (e / exceed-01 
            :ARG1 (a / alcohol)) 
      :mod (w / wide))

# ::snt so that might be something to bear in mind that its  not just the negative part get rid of the excess sort  of organics but its to get rid of cure disease
# ::tok so that might be something to bear in mind that its not just the negative part get rid of the excess sort of organics but its to get rid of cure disease
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:34.195
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt they are looking for firms with an energy requirement in the 1990s in excess of 18million therms per annum
# ::tok they are looking for firms with an energy requirement in the 1990s in excess of 18million therms per annum
# ::alignments 13-14|0.0.0.1 11-12|0.0.0 8-9|0.0 7-8|0.0.1 4-5|0 0-1|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:34.233
# ::node	0	firm	4-5
# ::node	0.0	require-01	8-9
# ::node	0.0.0	1990	11-12
# ::node	0.0.0.0	they	0-1
# ::node	0.0.0.1	exceed-01	13-14
# ::node	0.0.1	energy	7-8
# ::root	0	firm
# ::edge	1990	poss	they	0.0.0	0.0.0.0	
# ::edge	1990	topic	exceed-01	0.0.0	0.0.0.1	
# ::edge	firm	prep-in	require-01	0	0.0	
# ::edge	require-01	ARG0	1990	0.0	0.0.0	
# ::edge	require-01	ARG1	energy	0.0	0.0.1	
(f / firm 
      :prep-in (r / require-01 
            :ARG0 (1 / 1990 
                  :poss (t / they) 
                  :topic (e / exceed-01)) 
            :ARG1 (e2 / energy)))

# ::snt bond executives admitted that the move could finally trigger the collapse of the perth tycoons international brewing media and mining empire which once commanded assets in excess of adollars 10bn  5
# ::tok bond executives admitted that the move could finally trigger the collapse of the perth tycoons international brewing media and mining empire which once commanded assets in excess of adollars 10bn 5
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:34.236
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
